sample_set,from,to,presence
2_2,savory,smoky,1
2_2,savory,savory,1
2_2,savory,total acidity,0
2_2,savory,over-fermented,0
2_2,savory,off-flavors,0
2_2,savory,mouldy,0
2_2,savory,musty,0
2_2,savory,caramelized sugar,0
2_2,savory,caramel,0
2_2,savory,flowers,0
2_2,savory,sweetness,0
2_2,savory,peach,0
2_2,total acidity,tobacco,0
2_2,total acidity,mineral,0
2_2,total acidity,mouth-drying,0
2_2,total acidity,spice,0
2_2,total acidity,smoky,0
2_2,total acidity,savory,0
2_2,total acidity,total acidity,1
2_2,total acidity,over-fermented,1
2_2,total acidity,off-flavors,1
2_2,total acidity,mouldy,1
2_2,total acidity,musty,1
2_2,total acidity,caramelized sugar,0
2_2,total acidity,caramel,0
2_2,total acidity,flowers,0
2_2,total acidity,sweetness,0
2_2,total acidity,peach,0
2_2,over-fermented,tobacco,0
2_2,over-fermented,mineral,0
2_2,over-fermented,mouth-drying,0
2_2,over-fermented,spice,0
2_2,over-fermented,smoky,0
2_2,over-fermented,savory,0
2_2,over-fermented,total acidity,1
2_2,over-fermented,over-fermented,1
2_2,over-fermented,off-flavors,1
2_2,over-fermented,mouldy,1
2_2,over-fermented,musty,1
2_2,over-fermented,caramelized sugar,0
2_2,over-fermented,caramel,0
2_2,over-fermented,flowers,0
2_2,over-fermented,sweetness,0
2_2,over-fermented,peach,0
2_2,off-flavors,tobacco,0
2_2,off-flavors,mineral,0
2_2,off-flavors,mouth-drying,0
2_2,off-flavors,spice,0
2_2,off-flavors,smoky,0
2_2,off-flavors,savory,0
2_2,off-flavors,total acidity,1
2_2,off-flavors,over-fermented,1
2_2,off-flavors,off-flavors,1
2_2,off-flavors,mouldy,1
2_2,off-flavors,musty,1
2_2,off-flavors,caramelized sugar,0
2_2,off-flavors,caramel,0
2_2,off-flavors,flowers,0
2_2,off-flavors,sweetness,0
2_2,off-flavors,peach,0
2_2,mouldy,tobacco,0
2_2,mouldy,mineral,0
2_2,mouldy,mouth-drying,0
2_2,mouldy,spice,0
2_2,mouldy,smoky,0
2_2,mouldy,savory,0
2_2,mouldy,total acidity,1
2_2,mouldy,over-fermented,1
2_2,mouldy,off-flavors,1
2_2,mouldy,mouldy,1
2_2,mouldy,musty,1
2_2,mouldy,caramelized sugar,0
2_2,mouldy,caramel,0
2_2,mouldy,flowers,0
2_2,mouldy,sweetness,0
2_2,mouldy,peach,0
2_2,musty,tobacco,0
2_2,musty,mineral,0
2_2,musty,mouth-drying,0
2_2,musty,spice,0
2_2,musty,smoky,0
2_2,musty,savory,0
2_2,musty,total acidity,1
2_2,musty,over-fermented,1
2_2,musty,off-flavors,1
2_2,musty,mouldy,1
2_2,musty,musty,1
2_2,musty,caramelized sugar,0
2_2,musty,caramel,0
2_2,musty,flowers,0
2_2,musty,sweetness,0
2_2,musty,peach,0
2_2,caramelized sugar,tobacco,0
2_2,caramelized sugar,mineral,0
2_2,caramelized sugar,mouth-drying,0
2_2,caramelized sugar,spice,0
2_2,caramelized sugar,smoky,0
2_2,caramelized sugar,savory,0
2_2,caramelized sugar,total acidity,0
2_2,caramelized sugar,over-fermented,0
2_2,caramelized sugar,off-flavors,0
2_2,caramelized sugar,mouldy,0
